restaurantID,name,location,reviewCount,rating,categories,address,Hours,GoodforKids,AcceptsCreditCards,Parking,Attire,GoodforGroups,PriceRange,TakesReservations,Delivery,Takeout,WaiterService,OutdoorSeating,WiFi,GoodFor,Alcohol,NoiseLevel,Ambience,HasTV,Caters,WheelchairAccessible,webSite,phoneNumber,filReviewCount
iKrvwY844nyHWkk1ZIxNGg,The Lounge,"The Lounge - The Loop - Chicago, IL",2,4,"Restaurants, American (New), METADATA","151 W Adams St Chicago, IL 60604 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,http://www.jwmarriottchicago.com/,,0
IZfiCBUGL0h32C9wLmK2iQ,Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",34,3,"Restaurants, Mexican, METADATA","180 N Wells St Chicago, IL 60606 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,No,,Lunch,No,Average,,,,,,(312) 917-1007,3
JEAl7tmxI2St0xY-3gC-4Q,The African Truck,"The African Truck - The Loop - Chicago, IL",5,4,"Restaurants, African, Food Stands, METADATA","S Columbus Ave & E Randolph St Chicago, IL 60601 Neighborhood: The Loop",,No,No,,Casual,Yes,$,No,No,Yes,No,No,,,No,,,,,Yes,,,0
kbGBOi-iwuETmNUoC9EseQ,Trotter's To Go Express,"Trotter's To Go Express - CLOSED - The Loop - Chicago, IL",6,4,"Restaurants, Sandwiches, METADATA","200 W Monroe Ave Chicago, IL 60606 Neighborhood: The Loop",,,Yes,,,No,$$,,,Yes,,,,,,,,,,,http://www.charlietrotters.com/togâ€¦,(312) 499-0640,1
kr7qd033PuVWOa664Za3hg,The Plaza at Park Grill,"The Plaza at Park Grill - The Loop - Chicago, IL",38,3,"Restaurants, American (Traditional), METADATA","11 N Michigan Ave Chicago, IL 60602 Neighborhood: The Loop","Mon-Thu, Sun 11 am - 9:30 pm Fri-Sat 11 am - 10:30 pm",Yes,Yes,"Garage, Street",Casual,Yes,$$,No,No,Yes,Yes,Yes,,"Late Night, Lunch, Dinner",Full Bar,Very Loud,Casual,Yes,,Yes,http://www.parkgrillchicago.com/teâ€¦,(312) 521-7275,5
l-BMWMnj56OxQ55DioQO-Q,Typhoon Cafe,"Typhoon Cafe - The Loop - Chicago, IL",7,3,"Restaurants, Japanese, METADATA","211 N Stetson Ave (between Lake St & Water St) Chicago, IL 60601 Neighborhood: The Loop",,,Yes,,,,$$,,,,,,,,,,,,,,,(312) 861-0861,0
lf8WcC4IvzvmvlSmYIoi3Q,The Dock at Montrose Beach,"The Dock at Montrose Beach - Uptown - Chicago, IL",88,4,"Restaurants, American (New), METADATA","200 W Montrose Harbor Dr Chicago, IL 60601 Neighborhood: Uptown",Mon-Sun 10:30 am - 10 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,Yes,No,"Lunch, Dinner",Full Bar,Average,Casual,No,No,,http://www.thedockatmontrosebeach.â€¦,(773) 704-8435,23
lZNyQIU-wrVZ1Ub2GE6J1A,The Great Steak & Potato Company,"The Great Steak & Potato Company - The Loop - Chicago, IL",3,2,"Restaurants, Fast Food, Sandwiches, METADATA","233 N Michigan Ave (between Lake St & Wacker Pl) Chicago, IL 60601 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 540-1219,0
mDjyckhNZtxGeFENw9Al5w,Tribute,"Tribute - CLOSED - South Loop - Chicago, IL",48,3,"Restaurants, American (New), Food, Desserts, METADATA","Essex Inn 800 S Michigan Ave Chicago, IL 60605 Neighborhood: South Loop",,No,Yes,Valet,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,Free,"Dessert, Dinner",Full Bar,Average,Trendy,Yes,,Yes,http://www.tribute-chicago.com/,(312) 957-0000,16
NU4-xFxmnd1tYRRQalsVYw,Thai Spoon & Sushi,"Thai Spoon & Sushi - South Loop - Chicago, IL",4,3,"Restaurants, Sushi Bars, Thai, METADATA","601 S Wabash Ave (between Harrison St & Balbo Ave) Chicago, IL 60605 Neighborhood: South Loop",Mon-Fri 10:30 am - 10 pm Sat 11:30 am - 10 pm Sun 12 pm - 9 pm,,Yes,,Casual,Yes,$$,Yes,Yes,Yes,Yes,No,,,,,,,,,http://thaispoonsushi.com,(312) 427-9470,2
NWXOfe_hALF0x0omNtT2Tg,Taco Fresco,"Taco Fresco - The Loop - Chicago, IL",26,3,"Restaurants, Mexican, METADATA","29 N Wacker Dr (between Madison St & State St) Chicago, IL 60606 Neighborhood: The Loop",,Yes,Yes,,,No,$,No,,,,,,,No,,,No,,,,(312) 920-0077,0
O3dJVSVviUBknHBvP4ssag,Taco Fresco,"Taco Fresco - CLOSED - The Loop - Chicago, IL",26,3,"Restaurants, Mexican, Fast Food, METADATA","218 S Clark St Chicago, IL 60604 Neighborhood: The Loop",,No,Yes,,Casual,Yes,$,No,Yes,Yes,No,No,,,No,Average,,No,No,,,(312) 641-9912,1
pdZe5vmQmWGIbaOU0jangA,Tokyo Lunchbox,"Tokyo Lunchbox - The Loop - Chicago, IL",10,3,"Restaurants, Sushi Bars, METADATA","James R Thompson Center 100 W. Randolph St Chicago, IL 60601 Neighborhood: The Loop",,No,Yes,,Casual,No,$,No,No,Yes,No,No,,,No,,,,,Yes,,,0
PmqoIBBRjTVvlLFmuOJH1g,Taco Fresco,"Taco Fresco - CLOSED - The Loop - Chicago, IL",9,3,"Restaurants, Mexican, METADATA","335 S Franklin St (between Jackson Blvd & Van Buren St) Chicago, IL 60606 Neighborhood: The Loop",,Yes,Yes,Street,Casual,Yes,$,No,Yes,Yes,No,No,,,No,,,,,Yes,http://www.tacofresco.com,(312) 939-1548,1
pX7oIH75lXnYA37QuuB39g,Tamarind,"Tamarind - South Loop - Chicago, IL",263,4,"Restaurants, Sushi Bars, Asian Fusion, METADATA","614 S Wabash Ave (between Balbo Ave & Harrison St) Chicago, IL 60605 Neighborhood: South Loop",,Yes,Yes,Street,Casual,Yes,$$,Yes,Yes,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Trendy,No,Yes,Yes,http://www.tamarindsushi.com,(312) 379-0970,55
sU4fq-TWOhvJcjFI5GLL3w,The Grill Room Chophouse & Winebar,"The Grill Room Chophouse & Winebar - The Loop - Chicago, IL",68,3,"Restaurants, American (Traditional), Steakhouses, METADATA","33 W Monroe St (between Wabash Ave & State St) Chicago, IL 60603 Neighborhood: The Loop",Mon 11 am - 9 pm Tue-Fri 11 am - 10 pm Sat 5 pm - 10 pm,No,Yes,Street,Casual,Yes,$$,Yes,No,Yes,Yes,Yes,,Lunch,Full Bar,Average,,Yes,,Yes,http://www.restaurants-america.comâ€¦,(312) 960-0000,9
t4m5trM_qYC3vsHiJRnJIw,Taste of Siam Inc,"Taste of Siam Inc - CLOSED - Printer's Row - Chicago, IL",4,3,"Restaurants, METADATA","600 S Dearborn St (between Harrison St & Polk St) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,,,,,,,,,,,,,,,,,,,,,(312) 939-1179,0
TyOpxjKYPIHe3ynvbfv7hg,To Pho Cafe,"To Pho Cafe - CLOSED - The Loop - Chicago, IL",5,4,"Restaurants, METADATA","19 N Wabash Ave Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 346-7216,0
U3YEVlLeyy-23ndHsDiZtg,Taco Bell,"Taco Bell - CLOSED - Printer's Row - Chicago, IL",8,2,"Restaurants, Fast Food, METADATA","41 W Congress Pkwy (between Dearborn St & Holden Ct) Chicago, IL 60605 Neighborhoods: Printer's Row, South Loop",,No,Yes,,Casual,No,$,No,No,,No,No,,,,,,,,,,(312) 922-6363,1
U4c5YEldlytVFAv9YoN7qg,Tapas Valencia,"Tapas Valencia - Near Southside - Chicago, IL",222,4,"Restaurants, Tapas Bars, Spanish, METADATA","1530 S State St (at 15th St) Chicago, IL 60605 Neighborhood: Near Southside",Mon-Thu 4 pm - 10 pm Fri 4 pm - 11 pm Sat 5 pm - 11 pm Sun 10:30 am - 3 pm Sun 3 pm - 9 pm,No,Yes,"Street, Valet",Casual,Yes,$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,"Trendy, Casual",Yes,Yes,Yes,http://www.tapasvalencia.com/,(312) 842-4444,27
uio8zJnQ32w6QIP6_q07hw,Tokyo Lunch Boxes & Catering,"Tokyo Lunch Boxes & Catering - The Loop - Chicago, IL",45,3,"Event Planning & Services, Caterers, Restaurants, Japanese, METADATA","179 W Van Buren St (between Financial Pl & Wells St) Chicago, IL 60605 Neighborhood: The Loop",Mon-Fri 7 am - 5 pm,No,Yes,Street,Casual,No,$,No,No,Yes,No,No,,Lunch,No,Average,,No,Yes,Yes,http://tokyolunchboxncatering.com/,(312) 435-4005,1
v9d1-W91yQXPRKSk-c44-A,The BISTRO At 151,"The BISTRO At 151 - The Loop - Chicago, IL",10,3,"Restaurants, American (Traditional), Greek, Mediterranean, METADATA","Hyatt Regency Chicago 151 East Wacker Drive Chicago, IL 60601",,Yes,Yes,,Casual,Yes,$$,No,No,No,Yes,No,,,No,Loud,,Yes,,Yes,http://chicagoregency.hyatt.com,(312) 565-1234,2
vvhfPV-Llkd4fE2SHuLVvA,The Gage,"The Gage - The Loop - Chicago, IL",883,4,"Restaurants, Gastropubs, American (New)","24 S Michigan Ave (between Madison St & Monroe St) Chicago, IL 60603 Neighborhood: The Loop",Mon-Wed 11 am - 10 pm Thu-Fri 11 am - 11 pm Sat 10 am - 11 pm Sun 10 am - 10 pm,No,Yes,"Garage, Street, Valet",Casual,Yes,$$$,Yes,No,Yes,Yes,Yes,No,Dinner,Full Bar,Average,Classy,Yes,No,Yes,http://www.thegagechicago.com,(312) 372-4243,79
Vzs9WS3dV3liKH7u6vJ0Mg,Toni Patisserie & Cafe,"Toni Patisserie & Cafe - The Loop - Chicago, IL",103,4,"Food, Bakeries, Restaurants, Cafes, METADATA","65 E Washington St (between Wabash Ave & Dearborn St) Chicago, IL 60602 Neighborhood: The Loop",Mon-Sat 8 am - 8 pm Sun 8 am - 5 pm,Yes,Yes,Street,Casual,Yes,$$,No,Yes,Yes,No,Yes,No,Dessert,No,Average,Casual,No,Yes,Yes,http://www.tonipatisserie.com/,(312) 726-2020,8
xCzfrPUTHQTwmcKBTxwPRw,The Great Steak and Potato Company,"The Great Steak and Potato Company - The Loop - Chicago, IL",2,4,"Restaurants, Sandwiches, Cheesesteaks, METADATA","77 W Jackson Blvd (between Wabash Ave & Michigan Ave) Chicago, IL 60604 Neighborhood: The Loop",,Yes,Yes,,Casual,Yes,$,No,No,Yes,No,Yes,,,,,,,,Yes,,(312) 386-9105,0
XT0zLD8-J4n1DV9cfG9VjA,The Southern Mac & Cheese Store,"The Southern Mac & Cheese Store - CLOSED - The Loop - Chicago, IL",71,4,"Restaurants, Southern, American (New), Event Planning & Services, Caterers, METADATA","60 E Lake St (between Wabash Ave & Dearborn St) Chicago, IL 60601 Neighborhood: The Loop",,Yes,Yes,Street,Casual,No,$,No,Yes,Yes,No,No,No,Lunch,No,Average,Casual,No,Yes,,http://thesouthernmac.com/,(312) 262-7622,9
ZIqeTQDb26J1dnPeHGRiLA,The Bongo Room,"The Bongo Room - South Loop - Chicago, IL",675,4,"Restaurants, Breakfast & Brunch, METADATA","1152 S Wabash Ave (between 11th St & Roosevelt Rd) Chicago, IL 60605 Neighborhood: South Loop",Mon-Fri 8 am - 2 pm Sat-Sun 9 am - 2 pm,Yes,Yes,Street,Casual,Yes,$$,No,No,Yes,Yes,No,No,"Breakfast, Brunch",No,Average,"Hipster, Casual",No,No,Yes,http://www.thebongoroom.com,(312) 291-0100,51
ZZMN6y68ZTeMuQWLwon0xg,The Park Shoppe,"The Park Shoppe - The Loop - Chicago, IL",1,3,"Restaurants, METADATA","11 N Michigan Avenue Chicago, IL 60602 Neighborhood: The Loop",,,,,,,,,,,,,,,,,,,,,,(312) 384-1771,0
z_-zug3cMbDaqE2wEW63Bw,Tortas Frontera by Rick Bayless,"Tortas Frontera by Rick Bayless - The Loop - Chicago, IL",6,3,"Restaurants, Mexican, METADATA","Urban Market 10 S Dearborn Chicago, IL 60603 Neighborhood: The Loop",Mon-Fri 7 am - 2 pm,Yes,Yes,,Casual,Yes,$$,No,No,Yes,No,Yes,No,,No,Average,,No,No,,http://eurestdining.compass-usa.coâ€¦,(312) 732-6505,0
